fips,cases,deaths,popdense,population,ageab65,pctpov,pctmale,pctwhite,pctblack,pctindian,pctasian,pcthispanic,pct_highschool_or_less,pct_Adults_with_Diabetes,pct_Adults_with_Obesity,infection_rate_10k,fatality_rate_10k,Infection_rate_clusters,Fatality_rate_clusters
1001,4190,48,36.113876,55601,0.155626697,15.4,48.55128505,74.308014,19.343178,0.43704249,1.2050143,2.965774,45.07185364,11,33,753.5835686,114.5584726,Medium,Medium
1003,13601,161,52.94949,218022,0.204433498,10.6,48.46162314,83.11134,8.783976,0.67011588,1.1342892,4.6467789,36.85345936,11,31,623.8361266,118.373649,Medium,Medium
1005,1514,32,10.854899,24881,0.194204413,28.9,52.78324826,45.641252,48.032635,0.34162614,0.45416183,4.2763554,62.39144897,18,42,608.4964431,211.3606341,Medium,Medium
1007,1834,46,13.894338,22400,0.164732143,14,53.21875,74.589288,21.120536,0.38392858,0.23214286,2.6249999,65.82137489,15,38,818.75,250.8178844,High,High
1009,4641,63,34.632576,57840,0.182365145,14.4,49.27385892,86.886239,1.4626556,0.5152144,0.27835409,9.5712312,52.93156815,17,34,802.3858921,135.7466063,Medium,Medium
1011,859,22,6.2849522,10138,0.163839022,31.4,54.51765634,21.217203,69.540346,0.23673309,0.12823042,7.9601496,65.59639359,24,37,847.3071612,256.1117579,High,High
1013,1508,45,9.7812996,19680,0.202997967,23.5,46.57012195,51.255083,44.557926,0.35060975,1.2703252,1.5091463,60.13459682,19,43,766.2601626,298.4084881,Medium,High
1015,9494,156,72.825485,114277,0.17717476,18.6,48.05341407,72.024989,20.850214,0.40953122,0.9319461,3.910673,48.35794067,18,39,830.7883476,164.3143038,High,Medium
1017,2341,63,21.756077,33615,0.195210472,16.6,47.87446081,55.231297,39.56567,0.23203928,1.2672914,2.5613565,55.1137085,20,40,696.4152908,269.1157625,Medium,High
1019,1414,22,18.158186,26032,0.229717271,15,49.53902889,91.656423,4.2409342,0.56853103,0.31499693,1.6210817,58.68390465,15,35,543.1776275,155.5869873,Medium,Medium
1021,2970,54,24.60494,44153,0.167848164,18.6,49.07480805,80.139518,9.9676125,0.36011143,0.44164611,7.9269812,62.64394379,19,38,672.6609743,181.8181818,Medium,Medium
1023,490,22,5.4276023,12841,0.229966514,22.2,47.2704618,56.389689,41.515458,0.17911377,0.1557511,1.0435324,56.29756546,17,41,381.5902188,448.9795918,Low,High
1025,2390,25,7.4575353,23920,0.198704013,25.4,47.35785953,52.50836,44.326922,0.45568561,0.41806018,1.3628762,61.20453072,22,34,999.1638796,104.6025105,High,Medium
1027,1141,34,8.4864855,13275,0.207231638,18.4,48.9039548,80.527306,13.830508,0.49717515,0.21092279,3.0131826,61.12697029,14,41,859.5103578,297.9842244,High,High
1029,1026,16,10.331132,14987,0.194501902,18.5,49.51624741,92.793757,2.8691532,0.42703678,0.20684593,2.4821512,58.94475746,13,37,684.5933142,155.9454191,Medium,Medium
1031,3594,38,29.517801,51909,0.169546707,15.1,49.1648847,69.854939,17.187771,1.1327515,1.5469379,7.5805739,41.31697464,16,34,692.3654858,105.7317752,Medium,Medium
1033,4660,60,35.670868,54762,0.199298784,16.3,47.951134,78.397429,15.99832,0.5733903,0.5733903,2.6752127,52.67845821,16,31,850.9550418,128.7553648,High,Medium
1035,837,17,5.575366,12277,0.224973528,22.2,47.90258206,50.30545,45.662621,0.50500939,0.20363282,2.1503625,66.79497337,26,43,681.7626456,203.1063321,Medium,Medium
1037,517,7,6.3558412,10715,0.231544564,14,50.38730751,65.384972,30.471301,0.39197388,0.12132524,2.519832,60.28575134,21,40,482.5011666,135.3965184,Low,Medium
1039,2913,40,13.856955,36986,0.210620235,18.3,48.38587574,83.188236,12.442546,0.60833828,0.4298924,1.7493106,53.88618851,15,32,787.5953063,137.3154823,Medium,Medium
1041,954,36,8.7662735,13824,0.190176505,15.7,48.27835648,70.949072,23.220485,0.57870368,1.0778356,2.3148147,60.33023643,18,38,690.1041667,377.3584906,Medium,High
1043,7079,78,43.845928,83442,0.185110616,15.8,49.42954387,91.855419,1.2056279,0.54528895,0.63876705,4.4330195,52.51706123,19,37,848.3737207,110.1850544,High,Medium
1045,3325,63,33.687378,48956,0.1689272,18.4,49.070594,68.367511,20.451017,0.62709372,1.35632,6.6386141,46.16670322,16,37,679.1813057,189.4736842,Medium,Medium
1047,2769,43,15.112906,38310,0.180657792,31.1,46.16288175,27.180892,70.057428,0.22448448,0.56121117,1.1119812,54.076334,16,43,722.7877839,155.2907187,Medium,Medium
1049,6900,61,35.467697,71385,0.172613294,22.1,49.62947398,80.127478,1.4484836,1.2271485,0.35021363,14.842054,59.39362526,13,29,966.5896197,88.4057971,High,Low
1051,6435,83,51.122849,81887,0.151428188,12.3,48.34100651,72.992051,21.2146,0.40543675,0.68509043,3.0126883,45.8791666,16,34,785.8390221,128.982129,Medium,Medium
1053,2661,34,15.010732,36748,0.179492762,24,50.69119408,60.155654,31.403071,3.728094,0.27484489,2.4681615,62.59329224,19,39,724.1210406,127.7715145,Medium,Medium
1055,10031,94,73.934616,102501,0.190115218,17.3,48.44147862,77.686071,15.483752,0.38145969,0.76194378,4.0155705,48.30492115,16,36,978.6245988,93.70950055,High,Low
1057,1430,19,10.108303,16433,0.211282176,20,48.82249133,84.153837,11.854196,0.36511896,0.39554555,1.8073389,58.67076874,23,41,870.2002069,132.8671329,High,Medium
1059,3270,37,19.102333,31363,0.168861397,20.2,50.45116857,76.175749,3.883557,0.49102446,0.25507763,17.750216,59.36688232,15,34,1042.62985,113.1498471,High,Medium
1061,1677,20,17.685356,26314,0.202971802,24,48.81811963,83.681691,9.3144335,0.85125789,0.30022042,4.0434748,55.65916634,17,39,637.3033366,119.2605844,Medium,Medium
1063,672,20,4.91293,8233,0.223126442,38.7,47.21243775,17.527026,79.606462,0.19433985,0.25507105,1.664035,59.39927483,15,36,816.2273776,297.6190476,Medium,High
1065,1440,33,8.8290291,14726,0.192109195,26,47.58929784,39.725655,57.802528,0.22409344,0.28520983,1.358142,59.36901379,18,40,977.8622844,229.1666667,High,High
1067,1247,8,11.828088,17209,0.227206694,13.5,48.23057702,69.318378,25.829509,0.44744029,0.32541112,2.6730198,53.17225456,17,36,724.6208379,64.15396953,Medium,Low
1069,7279,64,69.728455,104722,0.177985524,18.3,48.01856343,66.31844,26.919845,0.40392657,1.0236626,3.4386281,45.20007133,14,38,695.078398,87.92416541,Medium,Low
1071,5097,34,18.530258,51736,0.200498686,20.2,49.07607855,89.067572,3.4134839,1.4071439,0.47355806,2.953456,57.82588768,17,39,985.1940622,66.70590543,High,Low
1073,52339,697,229.04567,659300,0.158572729,17,47.26088275,49.699834,43.126044,0.20673443,1.756105,3.9808888,36.31407261,13,35,793.8571212,133.1702937,Medium,Medium
1075,1056,15,8.8372841,13844,0.216555909,21.2,48.88038139,85.972261,10.394394,0.18780699,0.10112685,1.6902629,57.42604446,19,36,762.7853222,142.0454545,Medium,Medium
1077,6478,70,53.39838,92387,0.200926537,15.2,47.97969411,84.604979,9.893167,0.37451156,0.70464457,2.8618746,48.57875156,14,33,701.1809021,108.0580426,Medium,Medium
1079,2044,42,18.423422,32957,0.186637133,16.8,48.69071821,76.384377,10.832296,5.6042723,0.224535,2.2271445,61.89414024,19,33,620.2020815,205.4794521,Medium,Medium
1081,10320,75,104.18551,163941,0.118829335,21.4,49.18781757,67.476106,22.777097,0.25557976,4.1386839,3.7598893,32.84220219,9,30,629.4947573,72.6744186,Medium,Low
1083,6822,58,66.314186,96174,0.151891364,13.7,50.07174496,76.114124,13.493252,0.58851666,1.5461559,6.1451118,45.70986557,14,34,709.3393225,85.019056,Medium,Low
1085,945,32,5.3791351,9974,0.188490074,27.9,46.82173651,25.135353,71.937037,0.31080809,0.32083418,1.7345097,61.29991722,14,47,947.4634049,338.6243386,High,High
1087,999,30,11.693524,18439,0.203698682,25.8,45.46341993,16.139704,80.047727,0.2223548,0.58029178,1.8276479,48.391922,23,50,541.7864309,300.3003003,Medium,High
1089,22197,178,176.54282,366519,0.15040148,13.2,48.8580401,64.59583,24.436933,0.69000516,2.6465204,5.0687686,28.93445206,14,33,605.6166256,80.1910168,Medium,Low
1091,1793,26,7.5355506,19066,0.196003357,21.8,46.85303682,44.870451,51.075214,0.20455262,0.29371656,2.5805099,54.13993073,18,42,940.4174971,145.0083659,High,Medium
1093,2087,43,15.480144,29763,0.212377784,17.5,49.34314417,91.82542,3.7832208,0.3695864,0.29566912,2.5736652,55.25103569,20,37,701.2061956,206.0373742,Medium,Medium
1095,9189,86,65.579605,96109,0.170379465,21.7,49.42513188,80.436796,2.403521,0.59203613,0.65966765,14.325401,49.53639221,12,34,956.1019259,93.59016215,High,Low
1097,25858,506,129.94664,413757,0.162029887,19.3,47.63109748,56.721699,35.745618,0.88143526,2.0497538,3.0568667,47.50105667,14,36,624.9561941,195.684121,Medium,Medium
1099,1215,11,7.93045,21067,0.202924004,30.9,47.49133716,53.956425,40.964541,1.2768785,0.45568901,1.6138986,61.59125042,18,42,576.7313808,90.53497942,Medium,Low
1101,16116,276,110.99904,225763,0.151366699,20.7,47.18310795,33.288449,58.545464,0.20641114,3.1586222,3.5156336,38.27190018,14,38,713.8459358,171.2583768,Medium,Medium
1103,10627,87,79.360237,119089,0.17468448,15.3,49.27575175,75.335252,12.659439,0.79856245,0.6625297,8.4533416,46.32993031,13,32,892.3578164,81.86694269,High,Low
1105,867,10,4.9036951,9140,0.194091904,41.8,46.8380744,29.551423,67.527354,0.25164115,0.59080962,1.4442014,54.08804893,16,43,948.5776805,115.3402537,High,Medium
1107,1734,26,8.7336521,19938,0.190239743,23.5,49.89467349,53.866988,39.823452,0.22569967,0.310964,4.7547396,55.66057396,15,35,869.6960578,149.9423299,High,Medium
1109,2023,23,19.152643,33338,0.149589058,26.6,48.28723979,55.792189,37.314776,0.64790929,2.0847082,2.4056632,50.78246307,12,36,606.8150459,113.6925358,Medium,Medium
1111,1245,30,15.113567,22725,0.203520352,17.7,48.65126513,75.335532,19.361936,0.41364138,0.34763475,2.9086908,55.24213791,17,37,547.8547855,240.9638554,Medium,High
1113,2793,6,34.795723,57781,0.143299701,20.1,48.01751441,45.983973,44.756928,0.41882279,0.79957079,5.6160331,47.62075996,19,45,483.3768886,21.48227712,Low,Low
1115,6467,73,54.216629,88690,0.166174315,13.2,49.64144774,85.601532,9.3257412,0.29202842,0.86481003,2.5076108,51.01751614,14,37,729.1690157,112.8807793,Medium,Medium
1117,15668,103,106.04476,215707,0.153388624,8.4,48.33871872,77.531093,12.891097,0.26053861,2.2173597,5.7786722,27.15658092,11,35,726.3556584,65.73908604,Medium,Low
1119,849,24,5.4214215,12691,0.18012765,31.3,45.71743755,24.552833,71.412814,0.12607359,2.0171775,1.1504215,48.66469002,21,43,668.9780159,282.6855124,Medium,High
